"","ERR844083","ERR844084","ERR844085","ERR844086"
"262379",1,0,0,0
"432284",93,0,0,24
"505954",1,0,0,0
"4369506",1,0,0,0
"354889",1,0,0,0
"4391888",1,0,41,0
"4347253",1,0,0,0
"562311",4,0,0,0
"331835",1,0,0,0
"571373",11,0,0,0
"45082",1,0,0,0
"769222",1,0,0,0
"245496",2,0,41,0
"831596",1,0,0,0
"110514",39,16,23,45
"208293",2,0,0,0
"873114",1,0,6,0
"224486",1,0,0,0
"817300",2,0,0,1
"210513",26,0,0,0
"146567",1,0,0,0
"545247",4,0,0,0
"808546",5,0,0,0
"258653",2,0,0,0
"248505",14,0,0,0
"588707",3,0,0,0
"343557",2,0,0,0
"224604",1,0,0,0
"1105975",1,0,0,0
"114130",1,0,0,0
"783224",1,0,0,0
"1128234",9,0,0,0
"212776",1,0,1,0
"467605",3,0,1,1
"4439869",36,0,0,0
"130441",1,0,1,0
"278225",2,0,0,0
"543416",1,0,0,0
"53533",1,0,0,0
"738343",1,0,0,0
"248618",1,0,0,0
"545973",2,0,1,0
"395249",1,1,0,0
"1102294",0,1,1,0
"3244303",0,1,0,0
"163294",0,1,0,0
"587648",0,1,0,0
"533809",0,1,0,0
"2030964",0,1,0,0
"554483",0,1,0,0
"4452533",0,1,0,0
"274061",0,1,0,0
"683188",0,2,0,0
"633056",0,4,0,0
"2147800",0,2,0,2
"522242",0,1,0,0
"1521997",0,0,1,0
"226012",0,0,43,0
"584598",0,0,1,0
"751555",0,0,1,0
"819027",0,0,3,0
"813522",0,0,1,0
"215423",0,0,1,0
"223020",0,0,1,0
"4302799",0,0,2,0
"4311517",0,0,4,0
"590727",0,0,2,0
"1145392",0,0,6,0
"179877",0,0,2,0
"3350571",0,0,1,0
"222350",0,0,10,0
"1144000",0,0,1,0
"241792",0,0,34,0
"907407",0,0,9,0
"260920",0,0,1,0
"246579",0,0,3,0
"365796",0,0,1,0
"4319589",0,0,8,0
"362845",0,0,13,0
"210387",0,0,1,0
"4366002",0,0,1,0
"698483",0,0,5,0
"4322410",0,0,3,0
"616682",0,0,1,0
"251641",0,0,1,0
"225546",0,0,1,0
"541612",0,0,10,0
"546390",0,0,3,0
"1124560",0,0,1,0
"133382",0,0,2,0
"366907",0,0,9,0
"4306218",0,0,5,0
"224477",0,0,12,0
"677964",0,0,2,0
"4371078",0,0,1,0
"369241",0,0,7,0
"4391684",0,0,1,0
"279122",0,0,1,0
"217834",0,0,2,0
"242177",0,0,1,0
"1105389",0,0,1,0
"247905",0,0,1,0
"1020536",0,0,1,0
"250348",0,0,3,0
"4364838",0,0,12,0
"592973",0,0,1,0
"1113341",0,0,1,0
"237539",0,0,8,0
"369734",0,0,20,0
"536882",0,0,0,1
"320467",0,0,0,1
"815169",0,0,0,2
"3541",0,0,0,6
"1125837",0,0,0,1
"1115566",0,0,0,1
